Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['RHOXF2BB+ctrl' 'LYL1+IER5L' 'ctrl+IER5L' 'KIAA1804+ctrl' 'IER5L+ctrl'
 'RHOXF2BB+ZBTB25' 'RHOXF2BB+SET']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:9
combo_seen1:43
combo_seen2:19
unseen_single:36
Done!
Creating dataloaders....
Done!
Found local copy...
[HCE] GO terms: 16, lambda_hce: 0.3, n_genes: 5045, n_perts: 9853
Start Training with HCE...
Epoch 4 Step 401 | total=0.4764 mse=0.4757 hce=0.0026
Epoch 4 Step 451 | total=0.5507 mse=0.5499 hce=0.0028
Epoch 4 Step 501 | total=0.5069 mse=0.5056 hce=0.0042
Epoch 4 Step 551 | total=0.5511 mse=0.5501 hce=0.0032
Epoch 4 Step 601 | total=0.4554 mse=0.4510 hce=0.0149
Epoch 4 Step 651 | total=0.5195 mse=0.5185 hce=0.0032
Epoch 4 Step 701 | total=0.4871 mse=0.4859 hce=0.0037
Epoch 4 Step 751 | total=0.4720 mse=0.4704 hce=0.0053
Epoch 4 Step 801 | total=0.4415 mse=0.4408 hce=0.0024
Epoch 4 Step 851 | total=0.4792 mse=0.4780 hce=0.0038
Epoch 4 Step 901 | total=0.5139 mse=0.5130 hce=0.0031
Epoch 4 Step 951 | total=0.5048 mse=0.5002 hce=0.0155
Epoch 4 Step 1001 | total=0.5208 mse=0.5198 hce=0.0032
Epoch 4 Step 1051 | total=0.5951 mse=0.5941 hce=0.0032
Epoch 4 Step 1101 | total=0.4432 mse=0.4421 hce=0.0037
Epoch 4 Step 1151 | total=0.5702 mse=0.5641 hce=0.0204
Epoch 4 Step 1201 | total=0.5150 mse=0.5134 hce=0.0053
Epoch 4 Step 1251 | total=0.5141 mse=0.5131 hce=0.0031
Epoch 4 Step 1301 | total=0.5640 mse=0.5633 hce=0.0024
Epoch 4 Step 1351 | total=0.5080 mse=0.5066 hce=0.0048
Epoch 4 Step 1401 | total=0.5378 mse=0.5367 hce=0.0036
Epoch 4 Step 1451 | total=0.5282 mse=0.5268 hce=0.0046
Epoch 4 Step 1501 | total=0.4969 mse=0.4960 hce=0.0029
Epoch 4 Step 1551 | total=0.5242 mse=0.5232 hce=0.0032
Epoch 4: Val MSE=0.0736 | Val Pearson=0.8174 | HCE loss=0.0059
Epoch 5 Step 1 | total=0.5242 mse=0.5232 hce=0.0032
Epoch 5 Step 51 | total=0.5124 mse=0.5059 hce=0.0215
Epoch 5 Step 101 | total=0.4472 mse=0.4461 hce=0.0037
Epoch 5 Step 151 | total=0.4841 mse=0.4831 hce=0.0034
Epoch 5 Step 201 | total=0.4660 mse=0.4646 hce=0.0048
Epoch 5 Step 251 | total=0.4898 mse=0.4887 hce=0.0037
Epoch 5 Step 301 | total=0.4863 mse=0.4853 hce=0.0032
Epoch 5 Step 351 | total=0.4772 mse=0.4761 hce=0.0038
Epoch 5 Step 401 | total=0.6254 mse=0.6243 hce=0.0037
Epoch 5 Step 451 | total=0.5213 mse=0.5201 hce=0.0041
Epoch 5 Step 501 | total=0.4773 mse=0.4740 hce=0.0109
Epoch 5 Step 551 | total=0.4698 mse=0.4681 hce=0.0054
Epoch 5 Step 601 | total=0.5096 mse=0.5030 hce=0.0218
Epoch 5 Step 651 | total=0.5654 mse=0.5645 hce=0.0030
Epoch 5 Step 701 | total=0.5682 mse=0.5672 hce=0.0031
Epoch 5 Step 751 | total=0.4842 mse=0.4835 hce=0.0024
Epoch 5 Step 801 | total=0.5133 mse=0.5125 hce=0.0026
Epoch 5 Step 851 | total=0.5443 mse=0.5434 hce=0.0030
Epoch 5 Step 901 | total=0.5252 mse=0.5149 hce=0.0344
Epoch 5 Step 951 | total=0.5142 mse=0.5134 hce=0.0027
Epoch 5 Step 1001 | total=0.5337 mse=0.5329 hce=0.0027
Epoch 5 Step 1051 | total=0.5398 mse=0.5391 hce=0.0023
Epoch 5 Step 1101 | total=0.5048 mse=0.5039 hce=0.0028
Epoch 5 Step 1151 | total=0.6242 mse=0.6228 hce=0.0047
Epoch 5 Step 1201 | total=0.4823 mse=0.4812 hce=0.0035
Epoch 5 Step 1251 | total=0.4844 mse=0.4832 hce=0.0037
Epoch 5 Step 1301 | total=0.4405 mse=0.4373 hce=0.0106
Epoch 5 Step 1351 | total=0.4599 mse=0.4593 hce=0.0021
Epoch 5 Step 1401 | total=0.4584 mse=0.4576 hce=0.0026
Epoch 5 Step 1451 | total=0.4811 mse=0.4803 hce=0.0026
Epoch 5 Step 1501 | total=0.4866 mse=0.4859 hce=0.0025
Epoch 5 Step 1551 | total=0.5436 mse=0.5424 hce=0.0039
Epoch 5: Val MSE=0.0752 | Val Pearson=0.8133 | HCE loss=0.0055
Epoch 6 Step 1 | total=0.4778 mse=0.4770 hce=0.0026
Epoch 6 Step 51 | total=0.5236 mse=0.5226 hce=0.0036
Epoch 6 Step 101 | total=0.5200 mse=0.5189 hce=0.0037
Epoch 6 Step 151 | total=0.5189 mse=0.5181 hce=0.0028
Epoch 6 Step 201 | total=0.4559 mse=0.4462 hce=0.0322
Epoch 6 Step 251 | total=0.5465 mse=0.5459 hce=0.0019
Epoch 6 Step 301 | total=0.5315 mse=0.5302 hce=0.0041
